maingroup,mg_def
A01K29,ANIMAL HUSBANDRY - Other apparatus for animal husbandry 
A01K31,ANIMAL HUSBANDRY - Housing birds
A01K33,ANIMAL HUSBANDRY - Nest-eggs
A01K35,ANIMAL HUSBANDRY - Marking poultry or other birds 
A01K37,"ANIMAL HUSBANDRY - Constraining birds, e.g. wing clamps"
A01K39,ANIMAL HUSBANDRY - Feeding or drinking appliances for poultry or other birds 
A01K41,ANIMAL HUSBANDRY - Incubators for poultry
A01K43,"ANIMAL HUSBANDRY - Testing, sorting or cleaning eggs "
A01K45,"ANIMAL HUSBANDRY - Other aviculture appliances, e.g. devices for determining whether a bird is about to lay"
A01K47,ANIMAL HUSBANDRY - Beehives
A01K49,ANIMAL HUSBANDRY - Rearing-boxes
A01K51,"ANIMAL HUSBANDRY - Appliances for treating beehives or parts thereof, e.g. for cleaning or disinfecting"
A01K53,ANIMAL HUSBANDRY - Feeding or drinking appliances for bees
A01K55,ANIMAL HUSBANDRY - Bee-smokers
A01K57,"ANIMAL HUSBANDRY - Appliances for providing, preventing or catching swarms"
A01K59,ANIMAL HUSBANDRY - Honey collection
A01K61,ANIMAL HUSBANDRY - Culture of aquatic animals 
A01K63,"ANIMAL HUSBANDRY - Receptacles for live fish, e.g. aquaria "
A01K65,ANIMAL HUSBANDRY - Fish stringers 
A01K67,"ANIMAL HUSBANDRY - Rearing or breeding animals, not otherwise provided for"
A01K69,ANIMAL HUSBANDRY - Stationary catching devices
A01K71,ANIMAL HUSBANDRY - Floating nets 
A01K73,ANIMAL HUSBANDRY - Drawn nets
A01K74,ANIMAL HUSBANDRY - Other catching nets or the like
A01K75,ANIMAL HUSBANDRY - Accessories for nets
A01K77,ANIMAL HUSBANDRY - Landing-nets
A01K79,"ANIMAL HUSBANDRY - Methods or means of catching fish in bulk not provided for in groups A01K69/00-A01K77/00, "
A01K80,"ANIMAL HUSBANDRY - Harvesting oysters, mussels, sponges or the like, "
A01K81,ANIMAL HUSBANDRY - Fishing with projectiles 
A01K83,ANIMAL HUSBANDRY - Fish-hooks 
A01K85,"ANIMAL HUSBANDRY - Artificial baits, "
A01K87,ANIMAL HUSBANDRY - Rods
A01K89,ANIMAL HUSBANDRY - Reels 
A01K91,ANIMAL HUSBANDRY - Lines
A01K93,"ANIMAL HUSBANDRY - Floats for angling, with or without signalling devices"
A01K95,ANIMAL HUSBANDRY - Sinkers for angling 
A01K97,ANIMAL HUSBANDRY - Accessories for angling 
A01K99,ANIMAL HUSBANDRY - Methods or apparatus for fishing not provided for in groups A01K69/00-A01K97/00
A01K2207,ANIMAL HUSBANDRY - Modified animals
A01K2217,ANIMAL HUSBANDRY - Genetically modified animals
A01K2227,ANIMAL HUSBANDRY - Animals characterised by species 
A01K2267,ANIMAL HUSBANDRY - Animals characterised by purpose 
A01L1,SHOEING OF ANIMALS  - Shoes for horses or other solipeds fastened with nails 
A01L3,"SHOEING OF ANIMALS  - Horseshoes fastened by means other than nails, with or without additional fastening by nailing"
A01L5,SHOEING OF ANIMALS  - Horseshoes made of elastic materials 
A01L7,SHOEING OF ANIMALS  - Accessories for shoeing animals
A01L9,"SHOEING OF ANIMALS  - Shoes for other animals, e.g. oxen"
A01L11,SHOEING OF ANIMALS  - Farriers' tools and appliances 
A01L13,SHOEING OF ANIMALS  - Pens for animals while being shod 
A01L15,SHOEING OF ANIMALS  - Apparatus or use of substances for the care of hoofs
A01M1,CATCHING OR TRAPPING OF ANIMALS  - Stationary means for catching or killing insects 
A01M3,"CATCHING OR TRAPPING OF ANIMALS  - Manual implements, other than sprayers or powder distributors, for catching or killing insects, e.g. butterfly nets"
A01M5,"CATCHING OR TRAPPING OF ANIMALS  - Catching insects in fields, gardens, or forests by movable appliances"
A01M7,CATCHING OR TRAPPING OF ANIMALS  - Special adaptations or arrangements of liquid-spraying apparatus for purposes covered by this subclass 
A01M9,CATCHING OR TRAPPING OF ANIMALS  - Special adaptations or arrangements of powder-spraying apparatus for purposes covered by this subclass 
A01M11,CATCHING OR TRAPPING OF ANIMALS  - Special adaptations or arrangements of combined liquid- and powder-spraying apparatus for purposes covered by this subclass 
A01M13,CATCHING OR TRAPPING OF ANIMALS  - Fumigators
A01M15,CATCHING OR TRAPPING OF ANIMALS  - Flame-throwers specially adapted for purposes covered by this subclass 
A01M17,CATCHING OR TRAPPING OF ANIMALS  - Apparatus for the destruction of vermin in soil or in foodstuffs 
A01M19,"CATCHING OR TRAPPING OF ANIMALS  - Apparatus for the destruction of noxious animals, other than insects, by hot water, steam, hot air, or electricity "
A01M21,"CATCHING OR TRAPPING OF ANIMALS  - Apparatus for the destruction of unwanted vegetation, e.g. weeds "
A01M23,CATCHING OR TRAPPING OF ANIMALS  - Traps for animals
A01M25,CATCHING OR TRAPPING OF ANIMALS  - Devices for dispensing poison for animals 
A01M27,"CATCHING OR TRAPPING OF ANIMALS  - Apparatus having projectiles or killing implements projected to kill the animal, e.g. pierce or shoot, and triggered thereby"
A01M29,"CATCHING OR TRAPPING OF ANIMALS  - Scaring or repelling devices, e.g. bird-scaring apparatus"
A01M31,CATCHING OR TRAPPING OF ANIMALS  - Hunting appliances
A01M99,CATCHING OR TRAPPING OF ANIMALS  - Subject matter not provided for in other groups of this subclass
A01M2200,CATCHING OR TRAPPING OF ANIMALS  - Kind of animal
A01N1,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Preservation of bodies of humans or animals, or parts thereof "
