maingroup,mg_def
C22C18,ALLOYS  - Alloys based on zinc
C22C19,ALLOYS  - Alloys based on nickel or cobalt
C22C20,ALLOYS  - Alloys based on cadmium
C22C21,ALLOYS  - Alloys based on aluminium
C22C22,ALLOYS  - Alloys based on manganese
C22C23,ALLOYS  - Alloys based on magnesium
C22C24,ALLOYS  - Alloys based on an alkali or an alkaline earth metal
C22C25,ALLOYS  - Alloys based on beryllium
C22C26,ALLOYS  - Alloys containing diamond 
C22C27,ALLOYS  - Alloys based on rhenium or a refractory metal not mentioned in groups C22C14/00 or C22C16/00
C22C28,ALLOYS  - Alloys based on a metal not provided for in groups C22C5/00-C22C27/00
C22C29,"ALLOYS  - Alloys based on carbides, oxides, nitrides, borides, or silicides, e.g. cermets, or other metal compounds, e.g. oxynitrides, sulfides "
C22C30,ALLOYS  - Alloys containing less than 50% by weight of each constituent
C22C32,"ALLOYS  - Non-ferrous alloys containing at least 5% by weight but less than 50% by weight of oxides, carbides, borides, nitrides, silicides or other metal compounds, e.g. oxynitrides, sulfides whether added as such or formed in situ"
C22C33,ALLOYS  - Making ferrous alloys
C22C35,ALLOYS  - Master alloys for iron or steel
C22C37,ALLOYS  - Cast-iron alloys
C22C38,"ALLOYS  - Ferrous alloys, e.g. steel alloys "
C22C43,ALLOYS  - Alloys containing radioactive materials
C22C45,ALLOYS  - Amorphous alloys
C22C47,ALLOYS  - Making alloys containing metallic or non-metallic fibres or filaments
C22C49,ALLOYS  - Alloys containing metallic or non-metallic fibres or filaments
C22C2200,ALLOYS  - Crystalline structure
C22C2202,ALLOYS  - Physical properties
C22C2204,"ALLOYS  - End product comprising different layers, coatings or parts of cermet"
C22F1,CHANGING THE PHYSICAL STRUCTURE OF NON-FERROUS METALS AND NON-FERROUS ALLOYS  - Changing the physical structure of non-ferrous metals or alloys by heat treatment or by hot or cold working 
C22F3,"CHANGING THE PHYSICAL STRUCTURE OF NON-FERROUS METALS AND NON-FERROUS ALLOYS  - Changing the physical structure of non-ferrous metals or alloys by special physical methods, e.g. treatment with neutrons"
C23C2,COATING METALLIC MATERIAL - Hot-dipping or immersion processes for applying the coating material in the molten state without affecting the shape
C23C4,"COATING METALLIC MATERIAL - Coating by spraying the coating material in the molten state, e.g. by flame, plasma or electric discharge "
C23C6,COATING METALLIC MATERIAL - Coating by casting molten material on the substrate
C23C8,COATING METALLIC MATERIAL - Solid state diffusion of only non-metal elements into metallic material surfaces 
C23C10,COATING METALLIC MATERIAL - Solid state diffusion of only metal elements or silicon into metallic material surfaces
C23C12,COATING METALLIC MATERIAL - Solid state diffusion of at least one non-metal element other than silicon and at least one metal element or silicon into metallic material surfaces
C23C14,"COATING METALLIC MATERIAL - Coating by vacuum evaporation, by sputtering or by ion implantation of the coating forming material "
C23C16,"COATING METALLIC MATERIAL - Chemical coating by decomposition of gaseous compounds, without leaving reaction products of surface material in the coating, i.e. chemical vapour deposition [CVD] processes "
C23C18,"COATING METALLIC MATERIAL - Chemical coating by decomposition of either liquid compounds or solutions of the coating forming compounds, without leaving reaction products of surface material in the coating "
C23C20,"COATING METALLIC MATERIAL - Chemical coating by decomposition of either solid compounds or suspensions of the coating forming compounds, without leaving reaction products of surface material in the coating "
C23C22,"COATING METALLIC MATERIAL - Chemical surface treatment of metallic material by reaction of the surface with a reactive liquid, leaving reaction products of surface material in the coating, e.g. conversion coatings, passivation of metals "
C23C24,COATING METALLIC MATERIAL - Coating starting from inorganic powder 
C23C26,COATING METALLIC MATERIAL - Coating not provided for in groups C23C2/00-C23C24/00
C23C28,COATING METALLIC MATERIAL - Coating for obtaining at least two superposed coatings either by methods not provided for in a single one of groups C23C2/00-C23C26/00 or by combinations of methods provided for in subclasses C23C and C25C or C25D
C23C30,"COATING METALLIC MATERIAL - Coating with metallic material characterised only by the composition of the metallic material, i.e. not characterised by the coating process "
C23C2222,COATING METALLIC MATERIAL - Aspects relating to chemical surface treatment of metallic material by reaction of the surface with a reactive medium
C23D1,"ENAMELLING OF, OR APPLYING A VITREOUS LAYER TO, METALS  - Melting or fritting the enamels"
C23D3,"ENAMELLING OF, OR APPLYING A VITREOUS LAYER TO, METALS  - Chemical treatment of the metal surfaces prior to coating "
C23D5,"ENAMELLING OF, OR APPLYING A VITREOUS LAYER TO, METALS  - Coating with enamels or vitreous layers "
C23D7,"ENAMELLING OF, OR APPLYING A VITREOUS LAYER TO, METALS  - Treating the coatings, e.g. drying before burning"
C23D9,"ENAMELLING OF, OR APPLYING A VITREOUS LAYER TO, METALS  - Ovens specially adapted for firing enamels"
C23D11,"ENAMELLING OF, OR APPLYING A VITREOUS LAYER TO, METALS  - Continuous processes"
C23D13,"ENAMELLING OF, OR APPLYING A VITREOUS LAYER TO, METALS  - After-treatment of the enamelled articles"
C23D15,"ENAMELLING OF, OR APPLYING A VITREOUS LAYER TO, METALS  - Joining enamelled articles to other enamelled articles by processes involving an enamelling step"
C23D17,"ENAMELLING OF, OR APPLYING A VITREOUS LAYER TO, METALS  - De-enamelling"
C23F1,NON-MECHANICAL REMOVAL OF METALLIC MATERIAL FROM SURFACE  - Etching metallic material by chemical means 
C23F3,NON-MECHANICAL REMOVAL OF METALLIC MATERIAL FROM SURFACE  - Brightening metals by chemical means
C23F4,"NON-MECHANICAL REMOVAL OF METALLIC MATERIAL FROM SURFACE  - Processes for removing metallic material from surfaces, not provided for in group C23F1/00 or C23F3/00"
C23F11,NON-MECHANICAL REMOVAL OF METALLIC MATERIAL FROM SURFACE  - Inhibiting corrosion of metallic material by applying inhibitors to the surface in danger of corrosion or adding them to the corrosive agent 
C23F13,NON-MECHANICAL REMOVAL OF METALLIC MATERIAL FROM SURFACE  - Inhibiting corrosion of metals by anodic or cathodic protection
C23F14,NON-MECHANICAL REMOVAL OF METALLIC MATERIAL FROM SURFACE  - Inhibiting incrustation in apparatus for heating liquids for physical or chemical purposes 
C23F15,NON-MECHANICAL REMOVAL OF METALLIC MATERIAL FROM SURFACE  - Other methods of preventing corrosion or incrustation
C23F17,NON-MECHANICAL REMOVAL OF METALLIC MATERIAL FROM SURFACE  - Multi-step processes for surface treatment of metallic material involving at least one process provided for in class C23 and at least one process covered by subclass C21D or C22F or class C25 
C23F2201,NON-MECHANICAL REMOVAL OF METALLIC MATERIAL FROM SURFACE  - Type of materials to be protected by cathodic protection
C23F2213,NON-MECHANICAL REMOVAL OF METALLIC MATERIAL FROM SURFACE  - Aspects of inhibiting corrosion of metals by anodic or cathodic protection
C23G1,CLEANING OR DEGREASING OF METALLIC MATERIAL BY CHEMICAL METHODS OTHER THAN ELECTROLYSIS  - Cleaning or pickling metallic material with solutions or molten salts 
C23G3,CLEANING OR DEGREASING OF METALLIC MATERIAL BY CHEMICAL METHODS OTHER THAN ELECTROLYSIS  - Apparatus for cleaning or pickling metallic material 
C23G5,CLEANING OR DEGREASING OF METALLIC MATERIAL BY CHEMICAL METHODS OTHER THAN ELECTROLYSIS  - Cleaning or de-greasing metallic material by other methods
C25B1,ELECTROLYTIC OR ELECTROPHORETIC PROCESSES FOR THE PRODUCTION OF COMPOUNDS OR NON-METALS - Electrolytic production of inorganic compounds or non-metals
C25B3,ELECTROLYTIC OR ELECTROPHORETIC PROCESSES FOR THE PRODUCTION OF COMPOUNDS OR NON-METALS - Electrolytic production of organic compounds
C25B5,"ELECTROLYTIC OR ELECTROPHORETIC PROCESSES FOR THE PRODUCTION OF COMPOUNDS OR NON-METALS - Electrogenerative processes, i.e. processes for producing compounds in which simultaneously electricity is generated"
C25B7,ELECTROLYTIC OR ELECTROPHORETIC PROCESSES FOR THE PRODUCTION OF COMPOUNDS OR NON-METALS - Electrophorectic production of compounds or non-metals 
C25B9,ELECTROLYTIC OR ELECTROPHORETIC PROCESSES FOR THE PRODUCTION OF COMPOUNDS OR NON-METALS - Cells or assemblies of cells
C25B11,ELECTROLYTIC OR ELECTROPHORETIC PROCESSES FOR THE PRODUCTION OF COMPOUNDS OR NON-METALS - Electrodes
C25B13,ELECTROLYTIC OR ELECTROPHORETIC PROCESSES FOR THE PRODUCTION OF COMPOUNDS OR NON-METALS - Diaphragms
C25B15,ELECTROLYTIC OR ELECTROPHORETIC PROCESSES FOR THE PRODUCTION OF COMPOUNDS OR NON-METALS - Operating or servicing of cells
C25C1,"PROCESSES FOR THE ELECTROLYTIC PRODUCTION, RECOVERY OR REFINING OF METALS - Electrolytic production, recovery or refining of metals by electrolysis of solutions "
C25C3,"PROCESSES FOR THE ELECTROLYTIC PRODUCTION, RECOVERY OR REFINING OF METALS - Electrolytic production, recovery or refining of metals by electrolysis of melts "
C25C5,"PROCESSES FOR THE ELECTROLYTIC PRODUCTION, RECOVERY OR REFINING OF METALS - Electrolytic production, recovery or refining of metal powders or porous metal masses"
C25C7,"PROCESSES FOR THE ELECTROLYTIC PRODUCTION, RECOVERY OR REFINING OF METALS - Constructional parts, or assemblies thereof, of cells"
C25D1,PROCESSES FOR THE ELECTROLYTIC OR ELECTROPHORETIC PRODUCTION OF COATINGS - Electroforming
C25D3,PROCESSES FOR THE ELECTROLYTIC OR ELECTROPHORETIC PRODUCTION OF COATINGS - Electroplating: Baths therefor
C25D5,PROCESSES FOR THE ELECTROLYTIC OR ELECTROPHORETIC PRODUCTION OF COATINGS - Electroplating characterised by the process
C25D7,PROCESSES FOR THE ELECTROLYTIC OR ELECTROPHORETIC PRODUCTION OF COATINGS - Electroplating characterised by the article coated
C25D9,PROCESSES FOR THE ELECTROLYTIC OR ELECTROPHORETIC PRODUCTION OF COATINGS - Electrolytic coating other than with metals 
C25D11,"PROCESSES FOR THE ELECTROLYTIC OR ELECTROPHORETIC PRODUCTION OF COATINGS - Electrolytic coating by surface reaction, i.e. forming conversion layers"
C25D13,PROCESSES FOR THE ELECTROLYTIC OR ELECTROPHORETIC PRODUCTION OF COATINGS - Electrophoretic coating characterised by the process 
C25D15,"PROCESSES FOR THE ELECTROLYTIC OR ELECTROPHORETIC PRODUCTION OF COATINGS - Electrolytic or electrophoretic production of coatings containing embedded materials, e.g. particles, whiskers, wires"
C25D17,"PROCESSES FOR THE ELECTROLYTIC OR ELECTROPHORETIC PRODUCTION OF COATINGS - Constructional parts, or assemblies thereof, of cells for electrolytic coating "
C25D21,PROCESSES FOR THE ELECTROLYTIC OR ELECTROPHORETIC PRODUCTION OF COATINGS - Processes for servicing or operating cells for electrolytic coating
C25F1,"PROCESSES FOR THE ELECTROLYTIC REMOVAL OF MATERIALS FROM OBJECTS - Electrolytic cleaning, degreasing, pickling or de-scaling"
C25F3,PROCESSES FOR THE ELECTROLYTIC REMOVAL OF MATERIALS FROM OBJECTS - Electrolytic etching or polishing
C25F5,PROCESSES FOR THE ELECTROLYTIC REMOVAL OF MATERIALS FROM OBJECTS - Electrolytic stripping of metallic layers or coatings
C25F7,"PROCESSES FOR THE ELECTROLYTIC REMOVAL OF MATERIALS FROM OBJECTS - Constructional parts, or assemblies thereof, of cells for electrolytic removal of material from objects "
C30B1,SINGLE-CRYSTAL-GROWTH  - Single-crystal growth directly from the solid state 
C30B3,SINGLE-CRYSTAL-GROWTH  - Unidirectional demixing of eutectoid materials
C30B5,SINGLE-CRYSTAL-GROWTH  - Single-crystal growth from gels 
C30B7,"SINGLE-CRYSTAL-GROWTH  - Single-crystal growth from solutions using solvents which are liquid at normal temperature, e.g. aqueous solutions "
C30B9,SINGLE-CRYSTAL-GROWTH  - Single-crystal growth from melt solutions using molten solvents 
C30B11,"SINGLE-CRYSTAL-GROWTH  - Single-crystal growth by normal freezing or freezing under temperature gradient, e.g. Bridgman-Stockbarger method "
C30B13,SINGLE-CRYSTAL-GROWTH  - Single-crystal growth by zone-melting
C30B15,"SINGLE-CRYSTAL-GROWTH  - Single-crystal growth by pulling from a melt, e.g. Czochralski method "
C30B17,"SINGLE-CRYSTAL-GROWTH  - Single-crystal growth onto a seed which remains in the melt during growth, e.g. Nacken-Kyropoulos method "
C30B19,SINGLE-CRYSTAL-GROWTH  - Liquid-phase epitaxial-layer growth
C30B21,SINGLE-CRYSTAL-GROWTH  - Unidirectional solidification of eutectic materials
C30B23,SINGLE-CRYSTAL-GROWTH  - Single-crystal growth by condensing evaporated or sublimed material
C30B25,"SINGLE-CRYSTAL-GROWTH  - Single-crystal growth by chemical reaction of reactive gases, e.g. chemical vapour-deposition growth"
C30B27,SINGLE-CRYSTAL-GROWTH  - Single-crystal growth under a protective fluid
C30B28,SINGLE-CRYSTAL-GROWTH  - Production of homogeneous polycrystalline material with defined structure
C30B29,SINGLE-CRYSTAL-GROWTH  - Single crystals or homogeneous polycrystalline material with defined structure characterised by the material or by their shape 
C30B30,"SINGLE-CRYSTAL-GROWTH  - Production of single crystals or homogeneous polycrystalline material with defined structure characterised by the action of electric or magnetic fields, wave energy or other specific physical conditions"
C30B31,SINGLE-CRYSTAL-GROWTH  - Diffusion or doping processes for single crystals or homogeneous polycrystalline material with defined structure
C30B33,SINGLE-CRYSTAL-GROWTH  - After-treatment of single crystals or homogeneous polycrystalline material with defined structure 
C30B35,"SINGLE-CRYSTAL-GROWTH  - Apparatus in general, specially adapted for the growth, production or after-treatment of single crystals or a homogeneous polycrystalline material with defined structure"
C40B10,"COMBINATORIAL CHEMISTRY - Directed molecular evolution of macromolecules, e.g. RNA, DNA or proteins"
C40B20,COMBINATORIAL CHEMISTRY - Methods specially adapted for identifying library members
C40B30,COMBINATORIAL CHEMISTRY - Methods of screening libraries
C40B40,"COMBINATORIAL CHEMISTRY - Libraries per se, e.g. arrays, mixtures"
C40B50,"COMBINATORIAL CHEMISTRY - Methods of creating libraries, e.g. combinatorial synthesis"
C40B60,COMBINATORIAL CHEMISTRY - Apparatus specially adapted for use in combinatorial chemistry or with libraries
C40B70,"COMBINATORIAL CHEMISTRY - Tags or labels specially adapted for combinatorial chemistry or libraries, e.g. fluorescent tags or bar codes"
C40B80,"COMBINATORIAL CHEMISTRY - Linkers or spacers specially adapted for combinatorial chemistry or libraries, e.g. traceless linkers or safety-catch linkers"
C40B99,COMBINATORIAL CHEMISTRY - Subject matter not provided for in other groups of this subclass
D01B1,"MECHANICAL TREATMENT OF NATURAL FIBROUS OR FILAMENTARY MATERIAL TO OBTAIN FIBRES OF FILAMENTS, e.g. FOR SPINNING  - Mechanical separation of fibres from plant material, e.g. seeds, leaves, stalks"
D01B3,"MECHANICAL TREATMENT OF NATURAL FIBROUS OR FILAMENTARY MATERIAL TO OBTAIN FIBRES OF FILAMENTS, e.g. FOR SPINNING  - Mechanical removal of impurities from animal fibres "
D01B5,"MECHANICAL TREATMENT OF NATURAL FIBROUS OR FILAMENTARY MATERIAL TO OBTAIN FIBRES OF FILAMENTS, e.g. FOR SPINNING  - Hackling or heckling machines "
D01B7,"MECHANICAL TREATMENT OF NATURAL FIBROUS OR FILAMENTARY MATERIAL TO OBTAIN FIBRES OF FILAMENTS, e.g. FOR SPINNING  - Obtaining silk fibres or filaments"
D01B9,"MECHANICAL TREATMENT OF NATURAL FIBROUS OR FILAMENTARY MATERIAL TO OBTAIN FIBRES OF FILAMENTS, e.g. FOR SPINNING  - Other mechanical treatment of natural fibrous or filamentary material to obtain fibres or filaments"
D01C1,CHEMICAL TREATMENT OF NATURAL FILAMENTARY OR FIBROUS MATERIAL TO OBTAIN FILAMENTS OR FIBRES FOR SPINNING - Treatment of vegetable material
D01C3,"CHEMICAL TREATMENT OF NATURAL FILAMENTARY OR FIBROUS MATERIAL TO OBTAIN FILAMENTS OR FIBRES FOR SPINNING - Treatment of animal material, e.g. chemical scouring of wool "
D01C5,"CHEMICAL TREATMENT OF NATURAL FILAMENTARY OR FIBROUS MATERIAL TO OBTAIN FILAMENTS OR FIBRES FOR SPINNING - Carbonising rags, "
D01D1,"MECHANICAL METHODS OR APPARATUS IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS - Treatment of filament-forming or like material "
D01D4,"MECHANICAL METHODS OR APPARATUS IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS - Spinnerette packs"
D01D5,"MECHANICAL METHODS OR APPARATUS IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS - Formation of filaments, threads, or the like"
D01D7,"MECHANICAL METHODS OR APPARATUS IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS - Collecting the newly-spun products "
D01D10,"MECHANICAL METHODS OR APPARATUS IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS - Physical treatment of artificial filaments or the like during manufacture, i.e. during a continuous production process before the filaments have been collected "
D01D11,"MECHANICAL METHODS OR APPARATUS IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS - Other features of manufacture"
D01D13,"MECHANICAL METHODS OR APPARATUS IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS - Complete machines for producing artificial threads"
D01F1,"CHEMICAL FEATURES IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS - General methods for the manufacture of artificial filaments or the like"
D01F2,"CHEMICAL FEATURES IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS - Monocomponent artificial filaments or the like of cellulose or cellulose derivatives"
D01F4,"CHEMICAL FEATURES IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS - Monocomponent artificial filaments or the like of proteins"
D01F6,"CHEMICAL FEATURES IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS - Monocomponent artificial filaments or the like of synthetic polymers"
D01F8,"CHEMICAL FEATURES IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS - Conjugated, i.e. bi- or multi-component, artificial filaments or the like"
D01F9,"CHEMICAL FEATURES IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS - Artificial filaments or the like of other substances"
D01F11,"CHEMICAL FEATURES IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS - Chemical after-treatment of artificial filaments or the like during manufacture "
D01F13,"CHEMICAL FEATURES IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS - Recovery of starting material, waste material or solvents during the manufacture of artificial filaments or the like"
D01G1,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING  - Severing continuous filaments or long fibres, e.g. stapling"
D01G3,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING  - Roughening of fibres"
D01G5,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING  - Separating, e.g. sorting, fibres "
D01G7,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING  - Breaking or opening fibre bales"
D01G9,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING  - Opening or cleaning fibres, e.g. scutching cotton "
D01G11,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING  - Disintegrating fibre-containing articles to obtain fibres for re-use"
D01G13,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING  - Mixing, e.g. blending, fibres"
D01G15,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING  - Carding machines or accessories"
D01G17,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING  - Silk-dressing machines"
D01G19,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING  - Combing machines"
D01G21,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING  - Combinations of machines, apparatus, or processes, e.g. for continuous processing "
D01G23,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING  - Feeding fibres to machines"
D01G25,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING  - Lap-forming devices not integral with machines specified above "
D01G27,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING  - Lap- or sliver-winding devices, e.g. for products of cotton scutchers, jute cards, or worsted gill boxes"
D01G29,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING  - Arrangements for lubricating fibres, e.g. in gill boxes "
D01G31,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING  - Warning or safety devices, e.g. automatic fault detectors, stop motions "
D01G33,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING  - Hand tools for treatment of fibres"
D01G35,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING  - Treatment of oakum"
D01G99,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING  - Subject matter not provided for in other groups of this subclass"
D01H1,SPINNING OR TWISTING  - Spinning or twisting machines in which the product is wound-up continuously 
D01H3,"SPINNING OR TWISTING  - Spinning or twisting machines in which the product is wound-up intermittently, e.g. mules"
D01H4,SPINNING OR TWISTING  - Open-end spinning machines or arrangements for imparting twist to independently moving fibres separated from slivers
D01H5,SPINNING OR TWISTING  - Drafting machines or arrangements 
D01H7,SPINNING OR TWISTING  - Spinning or twisting arrangements 
D01H9,"SPINNING OR TWISTING  - Arrangements for replacing or removing bobbins, cores, receptacles, or completed packages at paying-out or take-up stations "
D01H11,"SPINNING OR TWISTING  - Arrangements for confining or removing dust, fly, or the like "
D01H13,"SPINNING OR TWISTING  - Other common constructional features, details or accessories "
D01H15,SPINNING OR TWISTING  - Piecing arrangements 
D01H17,SPINNING OR TWISTING  - Hand tools 
D01H2700,SPINNING OR TWISTING  - Spinning or twisting machines
D02G1,"CRIMPING OR CURLING FIBRES, FILAMENTS, THREADS, OR YARNS - Producing crimped or curled fibres, filaments, yarns, or threads, giving them latent characteristics "
D02G3,"CRIMPING OR CURLING FIBRES, FILAMENTS, THREADS, OR YARNS - Yarns or threads, e.g. fancy yarns"
D02H1,"WARPING, BEAMING OR LEASING - Creels, i.e. apparatus for supplying a multiplicity of individual threads"
D02H3,"WARPING, BEAMING OR LEASING - Warping machines"
D02H5,"WARPING, BEAMING OR LEASING - Beaming machines"
D02H7,"WARPING, BEAMING OR LEASING - Combined warping and beaming machines"
D02H9,"WARPING, BEAMING OR LEASING - Leasing"
D02H11,"WARPING, BEAMING OR LEASING - Methods or apparatus not provided for in the preceding groups, e.g. for cleaning the warp"
D02H13,"WARPING, BEAMING OR LEASING - Details of machines of the preceding groups"
D02J1,"FINISHING OR DRESSING OF FILAMENTS, YARNS, THREADS, CORDS, ROPES OR THE LIKE  - Modifying the structure or properties resulting from a particular structure"
D02J3,"FINISHING OR DRESSING OF FILAMENTS, YARNS, THREADS, CORDS, ROPES OR THE LIKE  - Modifying the surface"
D02J7,"FINISHING OR DRESSING OF FILAMENTS, YARNS, THREADS, CORDS, ROPES OR THE LIKE  - Cleaning, e.g. removing dust, loose fibres, charred ends "
D02J11,"FINISHING OR DRESSING OF FILAMENTS, YARNS, THREADS, CORDS, ROPES OR THE LIKE  - Combinations, not covered by any one of the preceding groups, of processes provided for in such groups"
D02J13,"FINISHING OR DRESSING OF FILAMENTS, YARNS, THREADS, CORDS, ROPES OR THE LIKE  - Heating or cooling the yarn, thread, cord, rope, or the like, not specific to any one of the processes provided for in this subclass "
D03C1,SHEDDING MECHANISMS - Dobbies
D03C3,SHEDDING MECHANISMS - Jacquards 
D03C5,"SHEDDING MECHANISMS - Cam or other direct-acting shedding mechanisms, i.e. operating heald frames without intervening power-supplying devices"
D03C7,SHEDDING MECHANISMS - Leno or similar shedding mechanisms
D03C9,SHEDDING MECHANISMS - Healds
D03C11,SHEDDING MECHANISMS - Selvedge shedding mechanisms not forming part of main shedding mechanism 
D03C13,SHEDDING MECHANISMS - Shedding mechanisms not otherwise provided for
D03C15,SHEDDING MECHANISMS - Pattern cards or chains
D03C17,SHEDDING MECHANISMS - Card-punching apparatus 
D03C19,SHEDDING MECHANISMS - Miscellaneous methods or devices concerned with designing or making patterns
D03C2700,SHEDDING MECHANISMS - Shedding mechanisms
D03D1,WOVEN FABRICS - Woven fabrics designed to make specified articles
D03D3,WOVEN FABRICS - Woven fabrics characterised by their shape
D03D5,WOVEN FABRICS - Selvedges
D03D7,"WOVEN FABRICS - Woven fabrics designed to be resilient, i.e. to recover from compressive stress"
D03D9,WOVEN FABRICS - Open-work fabrics 
D03D11,WOVEN FABRICS - Double or multi-ply fabrics not otherwise provided for
D03D13,"WOVEN FABRICS - Woven fabrics characterised by the special disposition of the warp or weft threads, e.g. with curved weft threads, with discontinuous warp threads, with diagonal warp or weft"
D03D15,WOVEN FABRICS - Woven fabrics characterised by the material or construction of the yarn or other warp or weft elements used
D03D17,WOVEN FABRICS - Woven fabrics having elastic or stretch properties due to manner of weaving 
D03D19,WOVEN FABRICS - Gauze or leno-woven fabrics
D03D21,WOVEN FABRICS - Lappet- or swivel-woven fabrics
D03D23,WOVEN FABRICS - General weaving methods not special to the production of any particular woven fabric or the use of any particular loom
D03D25,WOVEN FABRICS - Woven fabrics not otherwise provided for
D03D27,WOVEN FABRICS - Woven pile fabrics
D03D29,WOVEN FABRICS - Hand looms
D03D31,"WOVEN FABRICS - Lappet, swivel or other looms for forming embroidery-like decoration on fabrics"
D03D33,"WOVEN FABRICS - Multiple looms, i.e. two or more looms assembled together, whether or not they have mechanisms in common "
D03D35,"WOVEN FABRICS - Smallware looms, i.e. looms for weaving ribbons or other narrow fabrics "
D03D37,WOVEN FABRICS - Circular looms 
D03D39,WOVEN FABRICS - Pile-fabric looms
D03D41,"WOVEN FABRICS - Looms not otherwise provided for, e.g. for weaving chenille yarn"
D03D43,WOVEN FABRICS - Looms with change-boxes
D03D45,WOVEN FABRICS - Looms with automatic weft replenishment 
D03D47,"WOVEN FABRICS - Looms in which bulk supply of weft does not pass through shed, e.g. shuttleless looms, gripper shuttle looms, dummy shuttle looms "
D03D49,WOVEN FABRICS - Details or constructional features not peculiar to looms of a particular type 
D03D51,"WOVEN FABRICS - Driving, starting, or stopping arrangements"
D03D2700,WOVEN FABRICS - Woven fabrics
D03J1,AUXILIARY WEAVING APPARATUS - Auxiliary apparatus combined with or associated with looms
D03J3,"AUXILIARY WEAVING APPARATUS - Weavers' tools, e.g. knot-tying tools"
D03J5,AUXILIARY WEAVING APPARATUS - Shuttles 
D03J2700,AUXILIARY WEAVING APPARATUS - Auxiliary apparatus associated with looms
D04B1,KNITTING - Weft knitting processes for the production of fabrics or articles not dependent on the use of particular machines
D04B3,KNITTING - Hand tools or implements
D04B5,KNITTING - Knitting apparatus or machines without needles for domestic use 
D04B7,KNITTING - Flat-bed knitting machines with independently-movable needles 
D04B9,KNITTING - Circular knitting machines with independently-movable needles 
D04B11,KNITTING - Straight-bar knitting machines with fixed needles 
D04B13,"KNITTING - Circular knitting machines with fixed spring or bearded needles, e.g. loop-wheel machines "
D04B15,"KNITTING - Details of, or auxiliary devices incorporated in, weft knitting machines, restricted to machines of this kind "
D04B17,KNITTING - Repairing knitted fabrics by knitting operations
D04B19,KNITTING - Unravelling knitted fabrics
D04B21,KNITTING - Warp knitting processes for the production of fabrics or articles not dependent on the use of particular machines
D04B23,KNITTING - Flat warp knitting machines
D04B25,KNITTING - Warp knitting machines not otherwise provided for
D04B27,"KNITTING - Details of, or auxiliary devices incorporated in, warp knitting machines, restricted to machines of this kind "
D04B31,KNITTING - Crocheting processes for the production of fabrics or articles
D04B33,KNITTING - Crocheting tools or apparatus
D04B35,"KNITTING - Details of, or auxiliary devices incorporated in, knitting machines, not otherwise provided for"
